Name,Homepage,State
Albertville Municipal Utilities Board,http://www.mub-albertville.com/,ALABAMA
Anniston Water Works and Sewer Board,http://www.lrs.state.al.us/publications/recompiled_constitution/counties/pages/county_const_amendsp61.htm,ALABAMA
Athens Utilities,http://www.ci.athens.al.us/utilities/water.html,ALABAMA
Auburn Water and Sewer Department,http://www.auburnalabama.org/water/water.html,ALABAMA
Birmingham Water Works & Sewer Board,http://www.bwwsb.com/about/,ALABAMA
Dothan Utilities Water Division,http://www.dothan.org/depts/dothanutilities/utwaterdept1.htm,ALABAMA
Fairhope City of Watr & Sewer Dept.,http://www.cofairhope.com/water.html,ALABAMA
Florence Water Department,http://www.florenceutilities.com/departments/water/,ALABAMA
Fort Payne Improvement Authority,http://www.fpia.com,ALABAMA
Huntsville Utilities,http://www.hsvutil.org,ALABAMA
Limestone County Water Authority,http://www.limestonecountywater.com,ALABAMA
Mobile Area Water and Sewer System,http://www.mawss.com/water.htm,ALABAMA
Montgomery Water Works & Sanitary Sewer Board -,http://www.mwwssb.com/,ALABAMA
Northport City of Water Dept.,http://cityofnorthport.org/Departments/Water/waterdept.htm,ALABAMA
Riviera Utilities,http://www.rivierautilities.com/riviera/ru/water/water_main.shtml,ALABAMA
Scottsboro City Services,http://www.cityofscottsboro.com/cityservices/cityservices.html,ALABAMA
Summerdale Utilities Department,http://www.summerdalealabama.com/departments/utilities.html,ALABAMA
Sylacauga Utilities Board,http://www.sylacauga.net/utilities/water.shtm,ALABAMA
Trussville Utilities Water & Natural Gas,http://www.trussville.com/,ALABAMA
Tuscaloosa City of Water Works & Sewer Dept.,http://www.ci.tuscaloosa.al.us,ALABAMA
Tuscumbia Utilities,http://www.tuscutilities.com,ALABAMA
Anchorage Water and Wastewater Utility,http://www.awwu.biz/website/default.htm,ALASKA
College Utilities Corporation Fairbanks,http://www.akwater.com/,ALASKA
Golden Heart Utilities,http://www.akwater.com/,ALASKA
Juneau Water Utility Division,http://www.juneau.lib.ak.us/water/,ALASKA
"Kenai, City of Public Works",http://www.ci.kenai.ak.us/publicworks.html,ALASKA
Ketchikan Water Division,http://www.city.ketchikan.ak.us/public_utilities/water.html,ALASKA
Matanuska-Susitna Borough - Dept. Public Works,http://www.co.mat-su.ak.us/PublicWorks/,ALASKA
Nome Joint Utility System,http://www.njus.org/,ALASKA
North Pole City of,http://www.northpolealaska.com,ALASKA
Petersburg City of Water Utility,http://www.ci.petersburg.ak.us//pubworks/water.html,ALASKA
University of Alaska Fairbanks WTP,http://www.uaf.edu/fs/water/wtp.html,ALASKA
Utility Services of Alaska,http://www.akwater.com,ALASKA
"Apache Junction, City of",http://www.ajcity.net/,ARIZONA
Arizona American Water (formerly Paradise Valley Water Company),http://www.azamwater.com,ARIZONA
Arizona Corporation Commission,http://www.cc.state.az.us/utility/water/index.htm,ARIZONA
